                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0448,                0.73245,                0.90173,                0.94603,                0.73038,                0.72042,                 0.4781,                 1.2808,                0.76106,                0.88187,              0.0011918,              0.0011918,              0.0011918
                     49,                 1.1399,                0.76524,                0.90303,                0.93169,                 0.7295,                0.72407,                0.50563,                 1.1404,                0.79711,                0.86427,              0.0011906,              0.0011906,              0.0011906
                     50,                  1.174,                0.73554,                0.90051,                0.92703,                0.72876,                0.72646,                0.54247,                0.98897,                0.70965,                0.84361,              0.0011894,              0.0011894,              0.0011894
                     51,                 1.0459,                0.74265,                0.88826,                0.92068,                0.70296,                0.71647,                0.54858,                0.87132,                  0.719,                0.86381,              0.0011881,              0.0011881,              0.0011881
                     52,                0.97278,                0.67559,                0.87738,                0.93577,                0.73423,                0.72466,                0.55686,                0.83976,                 0.6435,                0.84181,              0.0011869,              0.0011869,              0.0011869
                     53,                0.99574,                0.68957,                0.87986,                0.94039,                0.72981,                0.72089,                0.53618,                 0.9651,                0.63579,                0.85872,              0.0011856,              0.0011856,              0.0011856
                     54,                0.93581,                0.65521,                0.87663,                0.93641,                0.73685,                0.72406,                0.57785,                0.81177,                0.62489,                0.83201,              0.0011844,              0.0011844,              0.0011844
                     55,                  0.904,                0.64165,                0.88159,                0.93108,                0.72028,                0.72349,                0.58185,                0.75818,                0.57737,                0.83397,              0.0011832,              0.0011832,              0.0011832
                     56,                0.92352,                 0.6409,                0.87748,                0.95057,                0.71204,                 0.7245,                0.58171,                0.73579,                0.59449,                0.82507,              0.0011819,              0.0011819,              0.0011819
                     57,                0.96705,                0.66715,                0.87144,                  0.936,                0.73845,                0.72527,                0.57324,                0.79655,                0.61571,                0.82211,              0.0011807,              0.0011807,              0.0011807
                     58,                 0.8917,                0.64305,                0.87218,                0.93143,                0.72614,                0.72147,                0.51749,                 1.0615,                0.61987,                0.85497,              0.0011795,              0.0011795,              0.0011795
                     59,                 1.1122,                0.68755,                0.88698,                0.94783,                0.72682,                0.72255,                0.53109,                0.90474,                0.65517,                0.83886,              0.0011782,              0.0011782,              0.0011782
                     60,                 1.0487,                0.69491,                0.89149,                 0.9244,                0.70468,                0.72287,                0.56318,                0.87864,                0.61402,                0.84445,               0.001177,               0.001177,               0.001177
                     61,                 1.0475,                0.67562,                0.88115,                0.96135,                0.71253,                0.72456,                0.58252,                0.73053,                0.58097,                0.82241,              0.0011757,              0.0011757,              0.0011757
                     62,                0.90584,                0.62319,                0.87839,                0.95632,                0.68363,                0.72972,                0.57079,                0.85857,                0.62804,                0.83556,              0.0011745,              0.0011745,              0.0011745
                     63,                 1.0447,                0.66294,                0.87633,                 0.9374,                0.70698,                 0.7209,                0.57006,                0.78758,                0.57768,                0.83784,              0.0011733,              0.0011733,              0.0011733
                     64,                0.92808,                0.63257,                0.86973,                 0.9383,                0.72847,                0.72058,                0.57837,                0.75612,                 0.5656,                0.82684,               0.001172,               0.001172,               0.001172
                     65,                0.85525,                0.60311,                0.86201,                0.94008,                0.71794,                0.72505,                0.55174,                0.98026,                0.60323,                0.83896,              0.0011708,              0.0011708,              0.0011708
                     66,                0.84169,                 0.6063,                 0.8708,                0.93942,                0.71905,                0.73017,                0.59955,                0.67774,                0.57375,                0.82383,              0.0011696,              0.0011696,              0.0011696
                     67,                0.88018,                0.59753,                0.86786,                0.94806,                0.72658,                0.72536,                0.58497,                0.77346,                0.56864,                0.82656,              0.0011683,              0.0011683,              0.0011683
                     68,                0.89712,                0.59293,                0.87245,                0.93999,                0.72861,                0.72112,                 0.5674,                0.83083,                0.56704,                0.83294,              0.0011671,              0.0011671,              0.0011671
                     69,                0.92717,                0.59704,                0.86424,                0.92601,                0.69433,                0.71968,                0.57798,                0.77268,                 0.5796,                 0.8325,              0.0011658,              0.0011658,              0.0011658
                     70,                0.86871,                0.58922,                0.87521,                0.94741,                0.71144,                 0.7227,                0.61136,                0.67034,                0.52711,                0.82226,              0.0011646,              0.0011646,              0.0011646
                     71,                0.79723,                0.56146,                0.86444,                0.94942,                0.73833,                0.73367,                0.61215,                0.65045,                0.53881,                0.80847,              0.0011634,              0.0011634,              0.0011634
                     72,                0.79589,                0.55761,                0.86056,                0.94348,                0.72824,                0.72547,                0.60731,                0.64943,                0.55589,                0.81365,              0.0011621,              0.0011621,              0.0011621
