                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.53995,                0.38036,                 0.7834,                0.95085,                0.72964,                 0.7151,                0.64145,                0.51148,                0.42864,                0.74633,              0.0011609,              0.0011609,              0.0011609
                     74,                0.54547,                0.38389,                0.78316,                0.95877,                0.70648,                0.71782,                0.64833,                0.47497,                0.43968,                0.74555,              0.0011597,              0.0011597,              0.0011597
                     75,                0.49804,                0.34869,                0.78752,                0.93749,                0.73945,                0.71864,                0.65594,                0.42822,                0.40829,                0.74544,              0.0011584,              0.0011584,              0.0011584
                     76,                0.50227,                0.34817,                0.78109,                0.95231,                0.72907,                0.72074,                 0.6583,                0.43734,                0.41914,                 0.7441,              0.0011572,              0.0011572,              0.0011572
                     77,                0.54074,                 0.3642,                0.78249,                0.95063,                0.73453,                0.72634,                0.66242,                0.43345,                0.42472,                0.74386,              0.0011559,              0.0011559,              0.0011559
                     78,                0.52773,                0.36802,                  0.782,                0.95175,                0.74062,                0.74257,                0.67639,                0.45649,                0.41333,                  0.744,              0.0011547,              0.0011547,              0.0011547
                     79,                0.49874,                 0.3584,                0.77741,                0.95201,                0.73926,                0.74068,                0.66204,                0.50877,                0.41545,                0.74617,              0.0011535,              0.0011535,              0.0011535
                     80,                0.47855,                0.34342,                0.77743,                0.96219,                0.71898,                0.74178,                0.67413,                0.48121,                0.40108,                0.74713,              0.0011522,              0.0011522,              0.0011522
                     81,                0.51021,                0.34806,                0.78035,                0.95272,                0.72868,                 0.7265,                0.66964,                0.43194,                0.43192,                0.74505,               0.001151,               0.001151,               0.001151
                     82,                0.54494,                0.36241,                0.78522,                0.94666,                0.72807,                0.72304,                0.66427,                0.42797,                0.46789,                 0.7502,              0.0011498,              0.0011498,              0.0011498
                     83,                0.58061,                0.38863,                0.78433,                0.94367,                0.73925,                0.73285,                0.62855,                0.65771,                0.46322,                0.75719,              0.0011485,              0.0011485,              0.0011485
                     84,                 0.5492,                0.36782,                 0.7836,                0.94506,                0.73957,                0.73519,                 0.6617,                0.49889,                0.43135,                0.74915,              0.0011473,              0.0011473,              0.0011473
                     85,                0.51059,                0.34881,                 0.7849,                0.95979,                0.73945,                0.74533,                0.68297,                0.42501,                0.39227,                0.74907,              0.0011461,              0.0011461,              0.0011461
                     86,                0.48251,                0.33427,                 0.7822,                0.95683,                 0.7375,                0.74423,                0.68553,                0.42868,                0.42713,                0.74583,              0.0011448,              0.0011448,              0.0011448
                     87,                0.52497,                0.35675,                0.77943,                0.95538,                0.72824,                 0.7417,                0.67436,                0.44235,                0.42216,                0.74727,              0.0011436,              0.0011436,              0.0011436
                     88,                0.51644,                0.36251,                0.78777,                0.95699,                0.72442,                0.74397,                0.65627,                0.54694,                0.42952,                0.75084,              0.0011423,              0.0011423,              0.0011423
                     89,                0.52898,                0.35668,                0.77881,                0.95468,                0.74062,                0.73672,                 0.6658,                0.45342,                0.41388,                0.74787,              0.0011411,              0.0011411,              0.0011411
                     90,                0.56877,                 0.3649,                0.78308,                0.96217,                0.74062,                0.74041,                0.67345,                0.48446,                0.41737,                0.74795,              0.0011399,              0.0011399,              0.0011399
                     91,                 0.5186,                 0.3476,                0.77804,                0.96179,                0.72211,                0.74534,                 0.6341,                 0.6912,                0.47272,                0.75807,              0.0011386,              0.0011386,              0.0011386
                     92,                0.55609,                0.35328,                 0.7811,                0.95243,                0.74062,                0.74001,                0.67826,                0.42637,                0.39587,                0.74617,              0.0011374,              0.0011374,              0.0011374
                     93,                0.55872,                0.35573,                0.77897,                0.95671,                0.73337,                0.74319,                0.63255,                0.65444,                0.45406,                0.75546,              0.0011362,              0.0011362,              0.0011362
                     94,                0.52514,                0.34999,                 0.7807,                0.96408,                 0.7186,                0.74873,                0.65501,                0.57612,                0.42305,                 0.7478,              0.0011349,              0.0011349,              0.0011349
                     95,                0.52359,                0.35165,                0.78271,                0.96371,                0.73684,                 0.7553,                0.69483,                0.41013,                0.38833,                0.74575,              0.0011337,              0.0011337,              0.0011337
                     96,                0.49852,                0.34414,                0.77708,                 0.9645,                0.73873,                0.75808,                0.69086,                0.43107,                0.40271,                 0.7448,              0.0011324,              0.0011324,              0.0011324
                     97,                0.47236,                0.32162,                0.77868,                0.94549,                0.74017,                0.75825,                0.67812,                0.49772,                0.40776,                0.74668,              0.0011312,              0.0011312,              0.0011312
                     98,                0.52221,                0.33759,                0.78271,                0.95776,                 0.7392,                0.77008,                0.70291,                0.42537,                0.39513,                0.74464,                0.00113,                0.00113,                0.00113
                     99,                0.48591,                0.32658,                0.77641,                0.96069,                0.73392,                0.76755,                0.70486,                0.42611,                0.39017,                0.74675,              0.0011287,              0.0011287,              0.0011287
                    100,                0.49322,                0.32738,                0.78374,                0.96175,                0.73351,                0.75522,                0.68511,                 0.4594,                 0.4197,                0.74392,              0.0011275,              0.0011275,              0.0011275
                    101,                0.51078,                 0.3252,                0.78035,                0.94585,                0.73646,                0.75135,                0.66054,                0.57317,                0.44119,                0.74994,              0.0011263,              0.0011263,              0.0011263
                    102,                0.50134,                0.33464,                0.77557,                0.95006,                0.73875,                0.77704,                0.68544,                0.52552,                0.41318,                0.74518,               0.001125,               0.001125,               0.001125
                    103,                0.50699,                0.33945,                0.77747,                0.94778,                0.73927,                0.79209,                0.69389,                0.59539,                0.42336,                0.75138,              0.0011238,              0.0011238,              0.0011238
                    104,                0.55279,                0.35374,                   0.78,                0.94672,                0.73903,                0.75828,                0.70281,                0.44194,                0.39506,                0.74407,              0.0011225,              0.0011225,              0.0011225
                    105,                0.53927,                0.35421,                0.77392,                0.96819,                0.72847,                0.74989,                0.67436,                0.47806,                0.40642,                0.74789,              0.0011213,              0.0011213,              0.0011213
                    106,                0.50472,                0.33859,                0.78039,                0.94215,                0.74062,                0.75307,                0.68711,                0.48416,                0.39447,                0.74646,              0.0011201,              0.0011201,              0.0011201
                    107,                0.49176,                0.32435,                0.77376,                0.94004,                0.74062,                0.74723,                0.67665,                0.50049,                0.40115,                0.74714,              0.0011188,              0.0011188,              0.0011188
                    108,                0.46221,                0.31452,                0.77995,                0.95271,                0.73953,                 0.7466,                0.67645,                 0.4858,                0.38402,                0.74754,              0.0011176,              0.0011176,              0.0011176
                    109,                0.49523,                0.32594,                0.78044,                0.95022,                0.74052,                0.73538,                0.66205,                0.52523,                0.41403,                 0.7487,              0.0011164,              0.0011164,              0.0011164
                    110,                 0.5284,                 0.3319,                 0.7839,                0.95115,                0.73524,                0.73704,                0.65136,                0.54511,                0.43226,                0.74979,              0.0011151,              0.0011151,              0.0011151
                    111,                0.50423,                0.33328,                0.77752,                0.94634,                0.73514,                0.73738,                0.64402,                0.59505,                0.43503,                0.75056,              0.0011139,              0.0011139,              0.0011139
                    112,                0.52048,                0.33169,                0.77897,                0.94688,                0.73981,                0.74049,                0.65858,                0.51871,                0.42155,                0.74771,              0.0011126,              0.0011126,              0.0011126
                    113,                0.51757,                0.33456,                0.78453,                0.94813,                0.73582,                0.74621,                0.66996,                0.47585,                0.41113,                0.74596,              0.0011114,              0.0011114,              0.0011114
                    114,                0.51206,                0.33256,                0.78185,                0.93785,                0.73925,                0.75856,                0.67304,                0.52924,                0.41251,                0.74706,              0.0011102,              0.0011102,              0.0011102
                    115,                0.51941,                0.32798,                0.78649,                0.95443,                0.72599,                0.76787,                0.70571,                0.41949,                0.39172,                0.74388,              0.0011089,              0.0011089,              0.0011089
                    116,                0.45339,                  0.309,                0.77337,                0.95691,                0.73291,                0.76684,                0.70205,                0.44992,                0.39865,                0.74398,              0.0011077,              0.0011077,              0.0011077
                    117,                0.46984,                 0.3102,                0.77461,                0.94088,                0.73889,                 0.7511,                0.68637,                0.43961,                0.39731,                0.74473,              0.0011065,              0.0011065,              0.0011065
